Waypoint,X pose,Y pose,Z pose,X orientation,Y orientation,Z orientation,W orientation
wp 57,-2.830614,4.733629,8.490379,0.009851,0.011345,0.655819,0.754769
wp 58,-2.683174,4.068682,7.805143,0.012426,0.013554,0.555043,0.831618
wp 59,-2.665401,4.015790,7.282943,0.002270,0.000274,0.560968,0.827834
wp 60,-2.353434,3.540710,6.776105,0.010764,0.016627,0.445757,0.894935
wp 61,-2.303024,3.505925,6.101632,0.000557,0.002625,0.451824,0.892103
wp 62,-1.447493,2.857235,6.359302,0.015393,0.026918,0.205234,0.978222
wp 63,-1.244024,2.772392,5.696726,-0.001317,0.003408,0.216510,0.976273
wp 64,-0.830834,2.655295,5.214801,0.006164,0.010068,0.083061,0.996475
wp 65,-1.238441,2.880955,4.808460,-0.005369,-0.016458,0.223661,0.974513
wp 66,-0.275392,0.320540,2.854819,0.035885,0.014599,0.005736,0.999233
