Waypoint,X pose,Y pose,Z pose,X orientation,Y orientation,Z orientation,W orientation
wp 0,-0.310495,0.188818,2.690780,0.052931,-0.008900,-0.013652,0.998465
wp 1,0.578580,2.836434,4.388062,-0.007039,0.004235,-0.193844,0.980998
wp 2,1.427751,3.286714,4.954940,-0.001296,0.029634,-0.422513,0.905872
wp 3,1.593420,3.400018,5.341459,-0.002134,0.007973,-0.414994,0.909787
wp 4,1.591847,3.397858,5.761570,-0.002782,-0.000409,-0.419928,0.907553
wp 5,1.235727,3.048103,6.604658,0.010909,-0.013375,-0.299305,0.954001
wp 6,0.058439,2.674761,6.359581,0.010376,-0.027949,-0.047281,0.998437
wp 7,-0.114944,2.665742,6.917293,0.000078,-0.001137,-0.055004,0.998485
wp 8,-0.716188,2.669321,7.432568,0.000525,-0.018779,0.083106,0.996364
wp 9,-0.810328,2.650646,7.762182,0.000523,-0.005101,0.072471,0.997357
wp 10,-1.322167,2.774177,8.412667,-0.002704,-0.011089,0.209134,0.977820
wp 11,-1.487541,2.777339,9.002387,-0.000639,-0.004861,0.204775,0.978797
wp 12,-0.417753,2.575204,9.661696,0.007087,0.030183,-0.047023,0.998413
wp 13,0.343880,2.677238,9.165394,-0.001013,0.016464,-0.184124,0.982765
wp 14,1.028617,2.993731,8.765369,-0.002961,0.017184,-0.310106,0.950542
wp 15,1.593578,3.413437,8.014674,-0.000947,0.010007,-0.421103,0.906957
wp 16,1.614583,3.429982,8.151920,-0.000094,0.004634,-0.418195,0.908345
wp 17,1.621605,3.497336,9.347679,0.002076,0.000492,-0.422656,0.906288
wp 18,2.131313,4.990334,9.927547,-0.020093,0.038476,-0.712000,0.700836
wp 19,2.231329,5.212416,9.040279,0.002120,0.000566,-0.730994,0.682381
wp 20,1.769006,6.334940,9.265499,0.028738,-0.020109,0.881553,-0.470780
wp 21,1.363565,6.960380,8.685683,0.014422,-0.009938,0.935323,-0.353362
wp 22,1.635483,6.484119,8.297696,-0.016616,0.008028,0.875693,-0.482516
wp 23,1.990026,5.892800,7.802865,0.012581,-0.004632,-0.805002,0.593120
wp 24,2.096401,4.644711,7.364672,0.027023,-0.016852,-0.629206,0.776586
wp 25,2.024998,4.436421,6.636414,-0.002491,-0.000684,-0.630866,0.775888
wp 26,2.056292,5.014081,5.772609,-0.009416,0.010616,-0.726517,0.687001
wp 27,2.080868,5.174932,5.283262,-0.003490,0.003173,-0.723978,0.689807
wp 28,1.897249,6.041258,4.634330,-0.020246,0.016219,-0.849480,0.526983
wp 29,1.778757,6.461838,6.432058,0.000098,0.001449,0.877394,-0.479768
wp 30,1.485666,6.851908,6.026006,0.013001,-0.004724,0.933678,-0.357846
wp 31,1.457815,6.932970,5.763882,0.005980,-0.004552,0.930049,-0.367360
wp 32,1.017911,7.241462,5.095623,0.014488,-0.004301,0.972151,-0.233869
wp 33,0.398540,7.474070,4.641082,0.016642,-0.000998,0.994155,-0.106666
wp 34,-0.775656,7.472989,4.244719,0.024716,-0.000106,0.992296,0.121397
wp 35,-1.975494,6.906242,4.618923,0.032488,-0.000792,0.921099,0.387969
wp 36,-1.629548,7.098443,5.009190,-0.016592,-0.003379,0.965248,0.260787
wp 37,-1.599833,7.203136,5.420477,-0.002914,-0.002228,0.963768,0.266716
wp 38,-1.119790,7.450078,5.864367,-0.015101,-0.003291,0.990284,0.138198
wp 39,-0.436057,7.657415,6.571709,-0.016739,-0.005775,0.999645,0.019907
wp 40,0.131170,7.477117,6.965941,-0.014446,0.003674,0.993388,-0.113832
wp 41,-0.395263,7.508671,7.334959,0.014514,-0.000654,0.999750,0.017007
wp 42,-0.398426,7.514309,7.900788,-0.002008,0.002244,0.999803,0.019639
wp 43,0.151054,7.478878,8.647480,-0.006218,0.002420,0.995317,-0.096437
wp 44,-2.160779,6.662003,8.719837,0.067242,-0.008321,0.888847,0.453166
wp 45,-2.183572,6.835650,8.353073,-0.011732,-0.002524,0.924157,0.381824
wp 46,-2.120321,6.932717,8.024927,-0.007138,-0.004466,0.925546,0.378543
wp 47,-2.056755,6.992854,7.200540,-0.000645,-0.004489,0.926385,0.376550
wp 48,-2.002739,6.959398,6.385895,0.001059,0.003001,0.924914,0.380163
wp 49,-2.605967,6.045196,5.741852,0.021730,0.009570,0.796849,0.603712
wp 50,-2.857966,5.498846,5.305631,0.010031,0.002376,0.738126,0.674584
wp 51,-2.855534,5.384887,4.989101,0.007051,0.001911,0.744891,0.667146
wp 52,-2.789476,4.847984,4.289236,0.007930,0.012346,0.654948,0.755532
wp 53,-2.791050,4.728720,5.924460,-0.003226,-0.001674,0.659109,0.752039
wp 54,-2.761447,5.604307,6.429649,-0.014873,-0.016863,0.800335,0.599131
wp 55,-2.749020,6.059677,7.197360,-0.004444,-0.006235,0.823032,0.567944
wp 56,-2.880208,5.346104,7.938817,0.012391,0.007179,0.738174,0.674458
