Waypoint,X pose,Y pose,Z pose,X orientation,Y orientation,Z orientation,W orientation
wp 0,0.349414,-0.012931,1.165527,-0.000785,-0.008148,-0.004112,0.999958
wp 1,3.615925,2.015436,3.566754,-0.002925,-0.001563,-0.806673,0.590989
wp 2,4.514444,4.002512,4.549724,-0.023984,-0.001533,0.633474,0.773390
wp 3,4.493877,3.908117,5.428540,-0.001469,0.001694,0.999992,-0.003394
wp 4,4.552670,3.926740,6.461939,0.000378,0.000439,-0.221285,0.975209
wp 5,4.136819,2.914359,7.167045,0.006154,-0.018091,-0.750707,0.660358
wp 6,3.201580,8.054701,7.406998,0.001660,0.004689,0.616082,0.787667
wp 7,3.299089,7.882781,3.258433,0.004521,0.000271,-0.742306,0.670046
wp 8,0.272217,9.248523,3.941026,-0.005691,0.000515,0.614578,0.788835
wp 9,0.386412,8.919319,4.897750,-0.001818,0.001448,0.993008,-0.118028
wp 10,-0.879063,8.814855,5.922213,-0.002220,-0.022349,-0.228280,0.973336
wp 11,-2.797001,7.831058,7.059766,-0.002906,-0.002957,0.999966,-0.007060
wp 12,-3.406592,6.940463,3.473870,0.001232,0.001642,-0.227338,0.973814
wp 13,-4.084916,5.140614,4.038420,0.006841,0.032451,0.925855,-0.376420
wp 14,-4.007257,6.052659,5.130401,-0.003147,-0.005298,0.406894,0.913455
wp 15,-4.012709,5.132741,5.974368,0.002361,0.009403,0.875011,-0.484006
wp 16,-0.572410,0.517030,6.727362,0.000454,0.001578,0.531491,0.847062
wp 17,-1.457298,0.810468,5.854790,-0.006987,-0.017700,-0.085816,0.996129
wp 18,-1.527012,0.854408,5.130579,0.008175,0.005062,0.941867,0.335848
wp 19,-1.544064,0.945792,4.222577,0.005229,-0.002918,0.934268,0.356522
wp 20,-2.301395,1.451507,2.719525,-0.012152,0.000551,-0.325749,0.945378
wp 21,0.047976,-0.081683,0.796486,0.030431,0.045514,-0.001802,0.998498
