Waypoint,X pose,Y pose,Z pose,X orientation,Y orientation,Z orientation,W orientation
wp 0,0.370102,-0.128679,0.869877,-0.000816,-0.006957,-0.003782,0.999968
wp 1,2.556434,1.036201,2.841915,0.003840,-0.003299,-0.271148,0.962524
wp 2,3.476494,1.981319,3.447406,-0.011284,0.029046,-0.414884,0.909341
wp 3,4.278435,2.967619,5.015235,0.000195,0.003273,-0.533979,0.845491
wp 4,2.726033,1.267807,6.591966,-0.001364,-0.002926,-0.308394,0.951253
wp 5,0.552458,0.380990,7.780732,0.006572,-0.003577,-0.046262,0.998901
wp 6,-0.225733,0.509015,6.355395,-0.000334,-0.021863,0.083879,0.996236
wp 7,-0.298417,0.495357,4.749692,0.000171,0.000083,0.079031,0.996872
wp 8,-2.047352,1.269091,5.293622,-0.004252,-0.051154,0.323859,0.944712
wp 9,-3.672014,3.312949,7.066105,-0.003260,-0.008586,0.551829,0.833907
wp 10,-3.822643,4.085967,6.461842,-0.014011,-0.021111,0.663171,0.748039
wp 11,-3.663506,5.875159,5.795477,-0.026909,-0.031211,0.802179,0.595659
wp 12,-2.493324,7.920150,7.084763,-0.003619,-0.006229,0.921391,0.388571
wp 13,-1.780856,8.407870,8.015928,-0.020952,-0.006750,0.964945,0.261529
wp 14,0.161518,9.054503,6.614870,-0.045748,-0.010412,0.998887,0.004798
wp 15,2.188457,8.697650,7.269634,-0.052408,-0.001654,0.969020,-0.241352
wp 16,4.208254,6.301892,8.228271,0.071411,-0.022792,-0.804203,0.589609
wp 17,4.496988,5.101870,6.624424,0.011720,-0.011101,-0.730059,0.683193
wp 18,4.328747,5.978056,4.910413,-0.014384,0.014497,-0.807332,0.589744
wp 19,2.499894,8.305731,3.709720,0.055190,-0.038638,0.967647,-0.243145
wp 20,0.248210,9.113862,5.189351,0.001334,-0.007788,0.999969,-0.000608
wp 21,-0.660751,8.888892,4.480356,0.030204,0.001732,0.989419,0.141899
wp 22,-2.430639,7.913483,3.693932,0.045502,0.004530,0.923941,0.379791
wp 23,-3.714019,4.571973,4.476458,0.081899,0.036961,0.661843,0.744238
wp 24,-3.072547,2.531736,3.578325,0.022627,0.037266,0.453494,0.890192
wp 25,0.422176,-0.041478,1.127120,0.011739,0.026987,0.009587,0.999521
